Cd_9thresh.dat
12
X
Y
Cd
Indicator1: 0.38500
Indicator2: 0.57150
Indicator3: 0.73340
Indicator4: 0.88550
Indicator5: 1.07000
Indicator6: 1.38000
Indicator7: 1.57400
Indicator8: 1.88200
Indicator9: 2.35780
2.386          3.077      1.74000    0    0    0    0    0    0    0    1    1
2.544          1.972      1.33500    0    0    0    0    0    1    1    1    1
2.807          3.347      1.61000    0    0    0    0    0    0    0    1    1
4.308          1.933      2.15000    0    0    0    0    0    0    0    0    1
4.383          1.081      1.56500    0    0    0    0    0    0    1    1    1
3.244          4.519      1.14500    0    0    0    0    0    1    1    1    1
3.925          3.785      0.89400    0    0    0    0    1    1    1    1    1
2.116          3.498      0.52500    0    1    1    1    1    1    1    1    1
1.842          0.989      0.24000    1    1    1    1    1    1    1    1    1
1.709          1.843      0.62500    0    0    1    1    1    1    1    1    1
3.800          4.578      3.87300    0    0    0    0    0    0    0    0    0
2.699          1.199      1.42500    0    0    0    0    0    0    1    1    1
3.033          4.384      0.45500    0    1    1    1    1    1    1    1    1
4.232          1.588      1.02500    0    0    0    0    1    1    1    1    1
4.750          1.369      0.77500    0    0    0    1    1    1    1    1    1
2.341          4.135      0.62000    0    0    1    1    1    1    1    1    1
2.827          3.667      0.40000    0    1    1    1    1    1    1    1    1
3.043          4.692      0.62500    0    0    1    1    1    1    1    1    1
1.687          1.174      0.35500    1    1    1    1    1    1    1    1    1
2.235          2.386      1.58500    0    0    0    0    0    0    0    1    1
3.122          1.695      1.88500    0    0    0    0    0    0    0    0    1
2.219          2.774      1.30000    0    0    0    0    0    1    1    1    1
3.185          2.092      1.57500    0    0    0    0    0    0    0    1    1
3.514          5.119      4.19100    0    0    0    0    0    0    0    0    0
4.459          2.624      1.48500    0    0    0    0    0    0    1    1    1
4.339          1.473      0.91500    0    0    0    0    1    1    1    1    1
4.920          1.417      0.70500    0    0    1    1    1    1    1    1    1
3.648          3.780      0.62000    0    0    1    1    1    1    1    1    1
2.916          4.916      0.88500    0    0    0    1    1    1    1    1    1
3.127          1.691      1.96000    0    0    0    0    0    0    0    0    1
3.441          4.719      3.15500    0    0    0    0    0    0    0    0    0
3.336          4.613      1.28000    0    0    0    0    0    1    1    1    1
3.649          2.674      1.78500    0    0    0    0    0    0    0    1    1
3.875          4.924      1.89500    0    0    0    0    0    0    0    0    1
2.612          4.114      0.57000    0    1    1    1    1    1    1    1    1
2.340          4.141      0.54000    0    1    1    1    1    1    1    1    1
3.811          1.318      0.75000    0    0    0    1    1    1    1    1    1
3.661          3.788      0.87500    0    0    0    1    1    1    1    1    1
4.340          3.736      2.81800    0    0    0    0    0    0    0    0    0
2.972          0.988      3.80500    0    0    0    0    0    0    0    0    0
2.286          3.068      0.60500    0    0    1    1    1    1    1    1    1
1.813          2.116      1.00300    0    0    0    0    1    1    1    1    1
3.379          4.308      1.90000    0    0    0    0    0    0    0    0    1
1.965          2.807      0.89500    0    0    0    0    1    1    1    1    1
3.559          4.009      4.02000    0    0    0    0    0    0    0    0    0
2.267          4.189      0.56000    0    1    1    1    1    1    1    1    1
2.965          1.002      1.39000    0    0    0    0    0    0    1    1    1
3.120          1.469      1.91000    0    0    0    0    0    0    0    0    1
3.454          4.654      1.07000    0    0    0    0    1    1    1    1    1
1.071          1.567      0.79500    0    0    0    1    1    1    1    1    1
3.573          3.542      0.55000    0    1    1    1    1    1    1    1    1
3.331          4.609      1.25500    0    0    0    0    0    1    1    1    1
